user_id,hero_id,match_id,victory,kills,deaths,assists
89598554,126,5906955332,False,3,5,1
19757254,37,2737247032,False,3,8,1
19757254,37,2737050929,False,1,2,4
19757254,37,2736685463,True,8,2,15
19757254,37,2734809512,True,5,3,19
19757254,37,2734731607,True,4,1,12
19757254,37,1102274018,False,10,11,6
19757254,37,50731225,True,6,2,21
89742217,63,1065084409,False,4,5,1
137855976,4,5746228534,True,6,9,29
89625472,51,1860038556,False,1,8,3
89625472,51,1775465859,True,3,9,22
89625472,51,1421143708,True,8,8,14
89625472,51,182717635,True,5,4,14
134556694,103,5970502885,True,2,11,25
134556694,103,2661885609,False,0,5,9
134556694,103,2514886654,True,1,9,19
134556694,103,2461476971,False,0,5,6
134556694,103,2460843202,True,0,4,14
87196890,60,2128345682,True,5,8,18
87196890,60,2125977137,True,4,3,12
87196890,60,2090563371,False,2,7,8
87196890,60,2076724492,False,0,9,7
87196890,60,2066985045,True,3,2,12
87196890,60,1866890183,True,6,10,14
87196890,60,1866783963,True,4,6,10
90423751,17,1828427861,True,16,0,9
90423751,17,1819737973,False,6,5,13
90423751,17,1812938385,True,11,4,15
90423751,17,1805827093,True,16,2,9
90423751,17,1601783909,False,10,3,6
90423751,17,1596952322,False,2,5,4
90423751,17,1439338701,False,2,5,2
90423751,17,1185595941,False,4,8,6
90423751,17,1180891404,True,12,1,12
90423751,17,1179263418,True,9,5,3
96196828,49,6112593555,False,1,8,12
96196828,49,5448372917,True,8,1,19
96196828,49,5440263095,False,2,6,7
96196828,49,5429508304,False,4,7,9
96196828,49,5408280751,False,3,9,12
96196828,49,5404365105,False,3,9,10
96196828,49,5398268465,True,2,2,17
96196828,49,5394481759,True,3,3,12
96196828,49,5384338320,False,6,11,25
96196828,49,3792863090,False,1,8,7
96196828,49,3791384064,False,4,11,8
96196828,49,3791318860,False,1,6,1
96196828,49,3757261652,False,8,6,10
96196828,49,3753977090,False,10,10,24
96196828,49,3575006216,False,6,8,6
96196828,49,2740634318,False,2,5,6
96196828,49,2606273603,False,2,5,4
96196828,49,2335555585,False,12,6,6
96196828,49,2333473030,True,8,2,8
96196828,49,677595091,True,7,0,11
96196828,49,308861578,False,6,5,5
96196828,49,308799310,False,3,3,5
96196828,49,209845347,False,1,6,1
173971950,42,6055337374,False,1,2,1
173971950,42,5948976329,False,2,7,4
173971950,42,5883263989,False,9,9,8
173971950,42,5879704384,False,3,5,10
173971950,42,5875930002,False,3,3,8
173971950,42,5869396350,True,8,1,14
173971950,42,5819621015,True,9,2,24
173971950,42,5808867128,True,9,0,10
173971950,42,5775306406,True,6,4,18
173971950,42,5511988649,True,13,1,10
173971950,42,5499317634,True,13,1,18
173971950,42,5059500882,False,4,4,2
295697470,20,5418395979,False,1,7,11
196878136,90,5114196866,True,3,1,5
196878136,90,5112950786,True,5,7,22
196878136,90,5111815271,True,2,5,15
196878136,90,5104994303,False,1,11,9
196878136,90,5103673328,False,5,8,16
196878136,90,5098237742,True,3,9,29
196878136,90,5096029771,False,1,6,8
196878136,90,5095213371,True,2,5,21
196878136,90,5092505866,False,2,11,13
196878136,90,5092458526,False,3,9,26
196878136,90,5091071710,True,3,2,5
138857296,89,4259772158,True,10,2,14
138857296,89,4242324663,False,7,4,7
138857296,89,4238272422,True,12,0,7
93473848,80,3509397127,False,1,3,5
132739889,18,5626320879,False,10,5,9
132739889,18,4926879098,False,0,1,8
132739889,18,3488759273,False,4,6,5
132739889,18,3483259369,True,4,1,5
132739889,18,3475649752,False,3,4,6
132739889,18,3473428450,True,4,4,21
132739889,18,3472706952,True,5,6,11
132739889,18,3469627734,False,2,9,5
132739889,18,3445570951,True,9,5,10
132739889,18,3440474821,True,6,4,6
132739889,18,3196177646,True,25,3,10
132739889,18,2796478489,True,10,0,9
114585639,52,5258277898,True,11,3,12
114585639,52,5105270139,False,5,2,1
107023378,64,3548871649,False,3,13,19
107023378,64,3488920424,False,1,8,11
107023378,64,3488765904,True,2,6,11
154715080,126,6222256714,False,9,7,18
154715080,126,6220239665,True,13,4,13
154715080,126,6215646049,False,5,6,6
154715080,126,6212554150,True,7,3,14
154715080,126,6036054100,True,13,2,8
154715080,126,5924712320,False,6,3,1
154715080,126,5918743805,True,12,3,17
154715080,126,5861478139,True,9,6,15
154715080,126,5801454875,True,9,2,9
154715080,126,5801388796,False,3,7,3
154715080,126,5748527092,True,10,0,16
154715080,126,5745809868,True,8,0,11
154715080,126,5742172171,True,8,4,24
154715080,126,5740767150,True,3,2,17
154715080,126,5735387588,True,13,9,21
154715080,126,5692219539,True,2,4,13
154715080,126,5690649437,True,9,0,20
154715080,126,5688161195,True,10,4,25
154715080,126,5670965793,True,2,3,15
154715080,126,5669422517,True,8,2,18
154715080,126,5665471452,True,9,1,10
154715080,126,5287322101,True,12,3,19
154715080,126,5239945004,True,10,0,18
87201671,72,898760850,False,2,4,0
87201671,72,885899047,True,6,5,13
87201671,72,384950836,False,3,6,2
87201671,72,249980168,False,1,5,6
87201671,72,240597568,True,10,5,21
87201671,72,239839210,False,12,8,8
