id,name,date
6186173,X,2018-07-17T08:23:37.211Z
7440055,Team Named,2017-04-20T20:23:28.641Z
8614325,.,2018-10-28T15:58:22.594Z
6570535,twfdsfdsf,2021-04-25T15:09:48.755Z
7654723,open doors,2021-12-02T07:48:40.010Z
7540925,Alpha Wolves,2021-09-02T04:28:53.961Z
5465829,Yolo Knight,2020-12-01T00:31:04.660Z
8359896,B8,2018-06-09T21:11:02.000000Z
7684596,KLPO,2019-09-06T15:24:10.489Z
7036368,cornos ltda,2018-11-04T20:42:05.000000Z
8442622,Interitus,2019-10-31T03:42:45.539Z
6981836,Kingdra,2018-07-12T08:39:34.286Z
8581426,Team Magnus,2018-02-12T22:51:32.000000Z
2637135,AtlantaSquad,2017-10-24T01:47:19.000000Z
8261648,PuckChamp,2020-11-22T16:02:43.000Z
8254407,ｏｎｉ分隊,2021-03-15T06:45:32.783Z
1566140,Porto Alegre Wanderers,2020-01-18T04:21:58.628Z
7684831,RIP Billy Herrington,2015-07-26T20:16:07.000000Z
7715132,asdasd,2015-09-25T02:49:43.000000Z
8343488,Ghost Frogs,2018-12-12T19:20:18.515Z
4287803,Sinister5,2019-12-25T21:40:16.540Z
8572181,Nigma Galaxy SEA,2018-03-06T00:39:33.445Z
1641853,Five Hot Guns,2011-02-13T17:26:50.000000Z
5201642,Yung Mafia Business,2014-01-05T10:15:31.000000Z
7684144,❖BotOniPtsiki❖,2020-02-18T18:46:46.356Z
7754653,HF.esports,2019-07-09T22:01:25.245Z
7173217,GERMANY,2017-10-03T21:51:56.611Z
7316976,Whoops!,2021-02-14T20:45:57.312Z
8144335,Odd Otters,2019-11-30T12:24:55.982Z
7977638,zxc,2021-10-20T09:25:46.414Z
8507465,Stratyk Gaming,2021-09-28T17:27:37.433Z
7298091,Noping VPN,2020-09-17T06:12:33.926Z
8620630,Wildcard Gaming,2021-06-22T05:57:27.783Z
7624504,MS Chonburi,2021-10-20T20:32:04.602Z
8131586,.,2020-02-08T06:59:46.722Z
7684068,21_school,2012-04-21T20:48:09.000000Z
7424193,T1,2018-12-22T23:07:21.845Z
7555482,MyGamePro,2011-12-16T17:11:05.000000Z
6876407,WeLostThisBros,2016-04-29T16:46:24.701Z
583915,dzabe smo dosli,2020-08-12T03:01:58.064Z
8037306,369 E-Sports,2018-04-26T17:09:10.289Z
5679840,SG e-sports,2020-07-26T17:09:43.950Z
7668985,Preventers,2011-02-05T19:16:07.000000Z
1838315,Team Secret,2012-03-05T12:41:16.000000Z
1061269,Our Way,2020-07-08T17:01:20.246Z
6187309,Looking for a team,2017-02-27T22:00:15.223Z
8255756,SG esports,2018-08-01T02:19:47.439Z
8205424,The Cut,2021-08-06T17:59:52.366Z
