match_id,start,duration,radTeamId,direTeamId,radVictory
2551241703,2016-08-05T12:36:37.000000Z,2622,2586976,36,True
3226506568,2017-06-05T04:25:42.000000Z,1946,36,2586976,False
3226648144,2017-06-05T05:39:26.000000Z,3052,2586976,36,True
3565640271,2017-11-16T11:46:33.000000Z,2487,36,2586976,False
3565732649,2017-11-16T13:00:00.000000Z,2388,36,2586976,True
3569316774,2017-11-18T08:16:38.000000Z,3163,36,2586976,False
3569464279,2017-11-18T09:45:51.000000Z,1745,36,2586976,False
3579923783,2017-11-24T08:17:23.000000Z,1663,36,2586976,True
3580028562,2017-11-24T09:18:30.000000Z,1841,2586976,36,False
3605319407,2017-12-07T23:48:12.000000Z,2624,36,2586976,False
3609079759,2017-12-09T19:17:14.000000Z,3766,2586976,36,True
3609225559,2017-12-09T20:58:23.000000Z,2265,36,2586976,False
3764167820,2018-03-04T06:41:18.000000Z,2728,36,2586976,False
3854928326,2018-04-28T07:10:52.000000Z,1901,2586976,36,True
3855045406,2018-04-28T08:12:19.000000Z,2315,36,2586976,False
4967721543,2019-08-14T21:52:28.000000Z,2353,36,2586976,False
4967784803,2019-08-14T23:02:46.000000Z,2655,36,2586976,True
5419259240,2020-05-16T12:36:38.000000Z,2600,2586976,36,False
5419359771,2020-05-16T13:52:55.000000Z,1696,2586976,36,True
5419423475,2020-05-16T14:46:02.000000Z,3134,36,2586976,True
5629976328,2020-09-25T06:26:16.000000Z,1868,36,2586976,True
5630085559,2020-09-25T07:24:28.000000Z,2252,36,2586976,False
5630188951,2020-09-25T08:30:50.000000Z,2101,36,2586976,True
5668713947,2020-10-23T08:00:03.000000Z,2064,36,2586976,True
5668809412,2020-10-23T09:03:05.000000Z,2492,36,2586976,False
5668907457,2020-10-23T10:16:01.000000Z,2281,36,2586976,True
5711908374,2020-11-22T04:59:29.000000Z,1579,36,2586976,False
5712001132,2020-11-22T05:55:23.000000Z,2785,36,2586976,False
5737101375,2020-12-10T10:59:42.000000Z,2002,36,2586976,False
5737164359,2020-12-10T12:03:46.000000Z,2042,36,2586976,False
5746168291,2020-12-17T09:55:27.000000Z,1999,2586976,36,False
5746236454,2020-12-17T10:58:11.000000Z,2319,36,2586976,False
5746294040,2020-12-17T12:04:14.000000Z,2637,2586976,36,True
5747460619,2020-12-18T09:00:59.000000Z,2501,2586976,36,False
5747573473,2020-12-18T10:27:03.000000Z,1394,36,2586976,True
5747650660,2020-12-18T11:34:35.000000Z,2508,2586976,36,False
6028105868,2021-06-05T08:38:26.000000Z,1997,7119388,15,False
6028212151,2021-06-05T09:38:53.000000Z,2427,7119388,15,True
6154786603,2021-08-27T11:49:02.000000Z,2380,15,7119388,True
6154881115,2021-08-27T13:00:04.000000Z,2312,7119388,15,True
6154941567,2021-08-27T14:09:07.000000Z,2376,7119388,15,False
6174622195,2021-09-10T09:00:34.000000Z,1924,7119388,15,True
6174712950,2021-09-10T10:00:58.000000Z,2248,15,7119388,True
6174804811,2021-09-10T11:08:32.000000Z,2397,7119388,15,False
6174888284,2021-09-10T12:17:30.000000Z,2523,15,7119388,True
6212903550,2021-10-07T08:18:09.000000Z,1799,7119388,15,False
6212978366,2021-10-07T09:14:09.000000Z,1512,15,7119388,True
6227105229,2021-10-17T05:13:43.000000Z,2296,7119388,15,True
6227203516,2021-10-17T06:26:54.000000Z,2446,15,7119388,False
6227305557,2021-10-17T07:38:31.000000Z,3010,7119388,15,False
6227419633,2021-10-17T09:03:14.000000Z,1480,15,7119388,True
6227492909,2021-10-17T09:56:26.000000Z,2204,7119388,15,True
3355980143,2017-08-04T12:54:45.000000Z,1213,2672298,39,False
3356035808,2017-08-04T13:43:07.000000Z,2392,2672298,39,False
4857149385,2019-06-22T03:00:03.000000Z,1923,2672298,39,False
4857261684,2019-06-22T03:58:47.000000Z,1479,39,2672298,True
4971031352,2019-08-16T20:19:43.000000Z,2190,2672298,39,False
4971103310,2019-08-16T21:30:17.000000Z,2405,2672298,39,True
4196238804,2018-10-31T05:30:55.000000Z,2519,2672298,36,False
4196357950,2018-10-31T06:39:57.000000Z,1892,36,2672298,True
4201328023,2018-11-03T05:30:02.000000Z,1941,36,2672298,True
4201445046,2018-11-03T06:30:03.000000Z,2919,36,2672298,True
4969187966,2019-08-15T18:18:14.000000Z,3817,36,2672298,False
4969247132,2019-08-15T19:48:05.000000Z,2118,36,2672298,True
5855934310,2021-02-25T12:07:41.000000Z,1776,39,8230115,True
5855989961,2021-02-25T13:07:24.000000Z,1333,8230115,39,False
5793162187,2021-01-18T21:01:07.000000Z,2386,8261500,1520578,True
5793206170,2021-01-18T22:06:51.000000Z,1882,8261500,1520578,False
5793244764,2021-01-18T23:01:59.000000Z,2413,8261500,1520578,False
5941314500,2021-04-11T23:57:56.000000Z,1433,8261500,1520578,False
5941365455,2021-04-12T00:47:15.000000Z,1639,1520578,8261500,True
5985486504,2021-05-08T18:40:37.000000Z,3247,8376426,8230115,True
5985562215,2021-05-08T20:05:45.000000Z,2013,8230115,8376426,False
6068629992,2021-07-01T11:59:56.000000Z,1738,8230115,8376426,False
6068688740,2021-07-01T12:54:10.000000Z,1576,8376426,8230115,True
6213959825,2021-10-08T06:31:48.000000Z,2950,7391077,8260983,False
6214070564,2021-10-08T07:52:36.000000Z,1927,8260983,7391077,True
6136742488,2021-08-15T08:00:07.000000Z,1542,46,8125069,True
6136830303,2021-08-15T08:50:02.000000Z,1537,46,8125069,True
6070245400,2021-07-02T12:59:53.000000Z,1846,8260932,8180753,True
6070298419,2021-07-02T13:57:08.000000Z,2382,8180753,8260932,False
6255345188,2021-11-02T20:06:36.000000Z,2952,8180753,8260932,True
6255398678,2021-11-02T21:20:17.000000Z,1623,8260932,8180753,True
6017757544,2021-05-29T18:29:20.000000Z,2559,2672298,8376426,False
6017819668,2021-05-29T19:43:44.000000Z,2017,8376426,2672298,False
6028677119,2021-06-05T16:48:29.000000Z,2064,2672298,8376426,True
6028718837,2021-06-05T17:50:11.000000Z,1677,8376426,2672298,False
37578738,2012-09-02T12:48:55.000000Z,2213,15,36,True
37584550,2012-09-02T13:41:34.000000Z,2561,36,15,True
37590330,2012-09-02T14:40:40.000000Z,3076,15,36,False
237103968,2013-07-07T06:10:50.000000Z,1711,36,15,True
237148702,2013-07-07T07:07:03.000000Z,1561,15,36,True
237209116,2013-07-07T08:05:58.000000Z,4446,36,15,False
238663160,2013-07-09T04:24:18.000000Z,2259,36,15,True
238710679,2013-07-09T05:32:28.000000Z,2240,15,36,False
238759728,2013-07-09T06:37:53.000000Z,2276,36,15,False
238807725,2013-07-09T07:39:24.000000Z,3034,15,36,True
238864450,2013-07-09T08:58:41.000000Z,2528,36,15,True
264336354,2013-08-05T09:51:10.000000Z,2599,36,15,False
