173971950,42,5883263989,False,9,9,8
173971950,42,5875930002,False,3,3,8
173971950,42,5819621015,True,9,2,24
173971950,42,5808867128,True,9,0,10
132739889,18,3473428450,True,4,4,21
154715080,126,6222256714,False,9,7,18
154715080,126,6220239665,True,13,4,13
154715080,126,6215646049,False,5,6,6
154715080,126,6212554150,True,7,3,14
154715080,126,6036054100,True,13,2,8
154715080,126,5924712320,False,6,3,1
154715080,126,5861478139,True,9,6,15
87201671,72,169591304,True,9,1,12
87201671,72,166189671,False,4,10,8
87201671,72,119177565,False,14,8,5
87201671,72,104149178,True,9,1,9
87201671,72,84816319,False,4,6,7
87196890,5,5985486504,True,4,5,17
385243792,110,5793244764,False,1,7,6
173971950,93,5235147820,True,14,1,14
86727555,68,2331234770,True,4,3,15
86727555,68,2135865842,True,5,4,7
86727555,68,1949609142,False,3,9,5
86727555,68,1876710983,True,7,4,14
86727555,68,1697818230,True,2,2,13
89625472,80,112564790,False,4,7,2
89625472,80,83272843,True,6,0,6
89625472,80,35833802,False,0,6,1
136477860,53,770922308,False,1,8,2
88553213,79,1603025350,False,2,8,6
88553213,79,971965435,False,4,6,4
88553213,79,657606452,False,8,6,14
85805514,7,352807549,False,1,7,5
132851371,97,5581802923,False,1,9,10
132851371,97,5581689509,False,2,5,4
132851371,97,5120624724,False,2,5,8
132851371,97,5116830040,True,1,3,15
132851371,97,5116700231,False,1,7,7
132851371,97,4121141684,True,6,5,9
145065875,79,6170209218,True,2,6,22
145065875,79,4894257480,False,1,6,1
123953528,23,6060728395,True,1,5,23
123953528,23,6059037237,True,8,2,25
123953528,23,6058609483,True,6,1,18
123953528,23,5991269404,False,9,8,22
123953528,23,5808917426,True,5,3,20
123953528,23,5725337372,False,1,11,3
123953528,23,5706876209,False,4,8,4
123953528,23,5661324663,False,2,8,4
123953528,114,5056075486,False,9,9,4
26771994,83,3148721353,True,0,3,18
26771994,83,3148575443,True,1,4,14
94155156,47,5159518668,True,8,9,23
85805514,40,774318898,False,1,3,2
20321748,51,194258683,False,2,9,5
20321748,51,194196516,False,5,8,12
20321748,51,193999102,False,1,0,2
20321748,51,189161253,False,2,5,7
86727555,14,1143509447,False,2,13,12
88585077,65,731308275,True,7,6,8
134556694,30,5571446064,True,5,2,10
134556694,30,4760066384,False,0,8,7
134556694,30,4259303225,False,1,10,10
134556694,30,3750343882,False,7,8,13
134556694,30,2730231450,True,0,7,20
87276347,41,3622964324,False,2,3,5
87276347,41,3351963840,True,2,3,16
87276347,41,3299636632,True,7,3,17
87276347,41,3230649585,True,1,0,9
87276347,41,3137325049,False,7,2,11
87276347,41,2771891830,True,1,1,17
87276347,41,2761684165,True,4,1,8
87276347,41,2550972124,True,9,1,7
87276347,41,2236495988,True,3,0,11
87276347,41,2117383841,True,4,0,3
87276347,41,2082106725,True,3,0,8
87276347,41,1100043062,True,16,2,9
87276347,41,1056509688,True,3,2,7
87276347,41,877576348,True,8,4,15
87276347,41,787900748,True,8,6,13
87276347,41,770978831,True,5,2,21
87276347,41,769229353,True,7,4,7
87276347,41,706788951,True,6,2,9
87276347,41,641675471,True,8,4,10
412758827,76,6301207777,False,2,8,4
86723143,50,2147432544,True,4,3,11
177953305,79,5441004669,False,1,11,9
87360406,79,250138349,True,6,5,21
87360406,79,199913072,True,2,6,15
41231571,52,4444406979,False,2,7,10
41231571,52,3928034802,False,3,16,13
41231571,52,3810503944,True,14,8,21
41231571,52,2799046764,False,3,6,4
