team_id,user_id,date_joined
7899713,65674469,2018-06-21T03:11:12.000000Z
7850966,66228684,2021-01-20T15:02:24.452Z
6186173,66598119,2018-07-17T08:23:37.211Z
7440055,67119389,2017-04-20T20:23:28.641Z
8614325,68007361,2018-10-28T15:58:22.594Z
6570535,68254582,2021-04-25T15:09:48.755Z
7654723,68272131,2021-12-02T07:48:40.010Z
7540925,68709354,2021-09-02T04:28:53.961Z
5465829,69602973,2020-12-01T00:31:04.660Z
8359896,70388657,2018-06-09T21:11:02.000000Z
7684596,70558570,2019-09-06T15:24:10.489Z
7036368,70663093,2018-11-04T20:42:05.000000Z
8442622,71266407,2019-10-31T03:42:45.539Z
6981836,71869498,2018-07-12T08:39:34.286Z
8581426,71948225,2018-02-12T22:51:32.000000Z
2637135,72980267,2017-10-24T01:47:19.000000Z
8261648,73401082,2020-11-22T16:02:43.000Z
8254407,74378317,2021-03-15T06:45:32.783Z
1566140,75241544,2020-01-18T04:21:58.628Z
7684831,75285376,2015-07-26T20:16:07.000000Z
7715132,75390186,2015-09-25T02:49:43.000000Z
8343488,75750590,2018-12-12T19:20:18.515Z
4287803,76510612,2019-12-25T21:40:16.540Z
8572181,76904792,2018-03-06T00:39:33.445Z
1641853,76996998,2011-02-13T17:26:50.000000Z
5201642,77212972,2014-01-05T10:15:31.000000Z
7684144,77405809,2020-02-18T18:46:46.356Z
7754653,78651939,2019-07-09T22:01:25.245Z
7173217,78937420,2017-10-03T21:51:56.611Z
7316976,79002648,2021-02-14T20:45:57.312Z
8144335,79247165,2019-11-30T12:24:55.982Z
7977638,79377767,2021-10-20T09:25:46.414Z
8507465,79922175,2021-09-28T17:27:37.433Z
7298091,81306398,2020-09-17T06:12:33.926Z
8620630,81475303,2021-06-22T05:57:27.783Z
7624504,81481903,2021-10-20T20:32:04.602Z
8131586,82327674,2020-02-08T06:59:46.722Z
7684068,82507234,2012-04-21T20:48:09.000000Z
7424193,82630959,2018-12-22T23:07:21.845Z
7555482,83003439,2011-12-16T17:11:05.000000Z
6876407,83515709,2016-04-29T16:46:24.701Z
583915,83543346,2020-08-12T03:01:58.064Z
8037306,84021752,2018-04-26T17:09:10.289Z
5679840,84390306,2020-07-26T17:09:43.950Z
7668985,84620251,2011-02-05T19:16:07.000000Z
1838315,84772440,2012-03-05T12:41:16.000000Z
1061269,84853828,2020-07-08T17:01:20.246Z
6187309,85008179,2017-02-27T22:00:15.223Z
8255756,85312703,2018-08-01T02:19:47.439Z
8205424,85367644,2021-08-06T17:59:52.366Z
7034741,85375207,2019-06-11T15:07:47.973Z
6018446,85485252,2016-07-15T08:49:47.312Z
7498762,85612299,2020-06-26T05:05:17.405Z
7315071,85696663,2011-09-19T04:01:30.000000Z
7251006,85956459,2021-02-07T05:35:47.224Z
7851888,86047456,2017-11-06T14:13:54.000000Z
7683592,86189031,2021-10-02T10:52:09.468Z
8599217,86300851,2017-12-13T02:15:44.000000Z
7469200,86317757,2017-10-05T22:25:45.761Z
5055701,86356342,2018-10-12T23:35:17.967Z
7682820,86715129,2016-09-19T06:43:31.401Z
8598999,86723143,2011-03-05T06:25:01.000000Z
7558577,86732705,2019-05-13T17:13:16.611Z
4424013,86741690,2021-02-16T17:21:48.080Z
5070043,86744322,2018-12-24T04:43:03.305Z
5767709,86750028,2018-08-30T08:28:19.573Z
8091304,86750262,2016-12-28T15:20:33.000000Z
2537636,86751819,2016-12-02T08:12:19.074Z
5216274,86761682,2016-06-28T14:52:37.480Z
8343637,86765434,2018-02-02T09:55:12.300Z
6352245,86772934,2017-04-18T16:31:46.307Z
7996574,86780673,2016-09-03T10:48:29.598Z
7408091,86793739,2021-04-02T03:20:50.631Z
5167588,86802844,2019-11-07T09:38:49.492Z
8375259,86818655,2010-12-10T22:05:06.000000Z
7406964,86827090,2014-07-08T10:48:19.000000Z
8496581,86870856,2017-10-08T09:55:48.967Z
6820663,86874930,2020-10-06T15:12:50.916Z
6211505,86887653,2017-11-30T14:30:10.033Z
6818714,86891646,2021-09-17T20:28:28.782Z
8075507,86896635,2019-05-02T23:44:27.986Z
7683396,86953414,2016-11-07T11:58:11.774Z
8597976,87012746,2014-10-14T16:16:55.000000Z
5766937,87039091,2021-08-02T12:15:39.632Z
7833289,87113040,2020-08-22T16:16:23.624Z
8014963,87357803,2021-11-29T01:42:53.975Z
7625263,87360406,2015-09-21T20:52:51.133Z
7683680,87383462,2017-04-24T07:18:50.000000Z
2786652,87423323,2020-12-26T03:55:56.086Z
7542148,87586992,2012-02-18T14:40:47.000000Z
4591569,87932136,2020-02-20T13:57:02.169Z
7895594,87967499,2020-12-27T01:12:07.247Z
8260932,88153289,2012-05-24T15:04:36.000000Z
8118375,88809428,2021-09-15T03:32:08.553Z
8520180,88933594,2019-04-29T12:25:15.637Z
5244665,89038430,2019-06-06T19:55:21.930Z
20,89246836,2016-08-19T23:14:38.000000Z
6188332,89249333,2017-05-14T14:45:01.000000Z
2277712,89268488,2011-11-09T04:54:08.000000Z
7683787,89301977,2015-01-09T05:53:48.000000Z
6212214,89330493,2014-03-19T10:56:06.000000Z
6209166,89423756,2014-01-07T02:07:08.000000Z
36,89550641,2014-01-31T16:10:10.000000Z
7404529,89603649,2013-10-30T20:59:57.000000Z
2898453,89625472,2016-09-07T10:20:59.000000Z
7732977,89871557,2015-02-23T04:48:33.000000Z
7578716,89945143,2017-10-05T01:55:34.153Z
8097343,89972122,2020-10-24T15:30:29.003Z
2586976,90125566,2015-03-27T17:53:36.000000Z
5894738,90324740,2018-10-30T02:02:59.000000Z
8599645,90365989,2017-07-21T18:23:21.002Z
1143609,90736413,2021-02-20T18:02:43.480Z
6209804,90882159,2016-03-25T20:08:31.000000Z
5219641,90892734,2012-07-06T06:43:50.000000Z
5104445,90934656,2021-03-25T16:49:16.705Z
7781771,91019997,2014-09-14T04:19:57.000000Z
8599809,91064780,2018-10-16T18:26:09.000000Z
